Country,Year,Count,,
SRB,2012,302,,
SRB,2010,323,,
LVA,1998,1084,,
EST,1981,1528,,
PRT,2015,192,,
GRC,2011,128,,
ISR,2004,140,,
LVA,2007,493,,
SWE,1996,338,,
MKD,1988,715,,
KGZ,1992,342,,
POL,2007,1,,
LTU,2008,286,,
UKR,1982,1518,,
KGZ,1984,531,,
ITA,1994,254,,
ISL,1983,158,,
EST,2006,631,,
GEO,1991,667,,
FIN,1983,199,,
FIN,1986,220,,
GRC,1979,58,,
NLD,2003,144,,
LVA,1997,1156,,
LTU,2003,384,,
SWE,2000,343,,
SWE,2007,346,,
KGZ,2011,104,,
KGZ,1997,204,,
ISL,1992,167,,
EST,2003,815,,
GBR,2011,251,,
GBR,1997,254,,
GEO,2009,384,,
SWE,1992,284,,
MLT,2008,0,,
GEO,1994,800,,
ISL,1998,219,,
TJK,2008,51,,
UZB,2003,99,,
ITA,2011,203,,
HRV,1980,701,,
ROU,1991,3149,,
LVA,2012,311,,
UZB,1982,288,,
PRT,2013,220,,
KGZ,1991,377,,
MDA,2004,469,,
TKM,2003,173,,
MDA,2009,359,,
NLD,2005,153,,
LVA,2001,793,,
HUN,1979,504,,
ESP,2008,223,,
ISL,2006,205,,
TUR,2015,30,,
GBR,2003,279,,
MLT,1986,0,,
SWE,2001,347,,
POL,2008,1,,
EST,2007,564,,
UZB,2007,70,,
EST,1996,1275,,
TKM,1990,285,,
LTU,1998,568,,
MNE,2011,114,,
FIN,2007,180,,
ESP,2010,232,,
FRA,2001,263,,
KGZ,1981,576,,
TJK,1995,109,,
RUS,2001,1416,,
UKR,2014,235,,
MKD,1996,451,,
ROU,1996,1972,,
MKD,1999,310,,
UZB,1999,106,,
HRV,2007,109,,
GBR,1998,268,,
MDA,2014,361,,
EST,1987,1384,,
HUN,2011,437,,
NLD,1982,117,,
UKR,2009,249,,
LTU,1993,742,,
NOR,2000,247,,
GBR,1993,225,,
ISL,1994,178,,
GBR,1986,212,,
MDA,1985,1106,,
GEO,2001,315,,
NLD,1999,126,,
SVK,1998,337,,
GRC,2008,138,,
HUN,1999,697,,
GEO,2000,306,,
ESP,2005,197,,
TJK,2010,44,,
GBR,1984,203,,
ROU,1986,488,,
MNE,1995,429,,
LTU,1992,753,,
HRV,1994,405,,
FIN,1980,238,,
FIN,1993,160,,
MDA,2006,419,,
SVK,2013,146,,
ROU,1984,864,,
MLT,2012,0,,
NOR,1995,228,,
UKR,2007,332,,
MKD,1998,411,,
TJK,1996,108,,
KGZ,2013,142,,
EST,2011,456,,
MDA,1989,1105,,
NOR,2004,247,,
TJK,2011,39,,
HUN,1995,687,,
MLT,1991,0,,
UKR,2010,224,,
MKD,1984,765,,
TKM,1995,266,,
HUN,1996,728,,
HRV,1989,777,,
SVK,1995,470,,
SRB,2003,378,,
MLT,2002,0,,
LTU,2011,205,,
SVN,2003,397,,
GRC,2010,152,,
LVA,1995,1201,,
SVK,1985,506,,
KAZ,2005,450,,
FIN,2000,193,,
ISL,1984,181,,
FRA,1998,266,,
SMR,2015,156,,
MDA,2005,441,,
FIN,1977,271,,
